# Running class it.unibo.c2c.CommandLineMain with args: [--negativeMagnitudeOnly, ./src/test/resources/it/unibo/c2c/input.csv]
# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
0,1995,383,-137,1,-137,212,1,212
0,2014,499,-96,18,-5.333333333333333,-450,1,-450
0,2015,49,-450,1,-450,226,4,56.5
1,2015,581,-40,31,-1.290322580645161,-702,1,-702
1,2016,-121,-702,1,-702,339,2,169.5
1,2019,144,-74,1,-74,NaN,NaN,NaN
2,1993,143,-159,1,-159,226,4,56.5
2,1998,-219,-588,1,-588,426,2,213
3,2006,409,-244,1,-244,140,13,10.76923076923077
4,1999,17,-208,2,-104,147,10,14.7
4,2010,-105,-269,1,-269,22,9,2.444444444444445
5,2019,587,-100,35,-2.857142857142857,NaN,NaN,NaN
6,1996,142,-266,1,-266,143,18,7.944444444444445
6,2015,52,-233,1,-233,100,4,25
7,2004,516,-155,20,-7.75,-657,1,-657
7,2005,-141,-657,1,-657,461,2,230.5
7,2014,-109,-534,1,-534,38,5,7.6
8,2019,491,-149,2,-74.5,NaN,NaN,NaN
9,1991,213,-469,1,-469,246,1,246
9,2002,225,-234,10,-23.4,228,17,13.411764705882353
10,2015,580,-109,31,-3.516129032258065,-908,1,-908
10,2016,-328,-908,1,-908,477,1,477
11,2006,519,-32,22,-1.454545454545455,-678,1,-678
11,2007,-159,-678,1,-678,477,2,238.5
12,2014,506,-33,30,-1.1,-701,1,-701
12,2015,-195,-701,1,-701,108,1,108
13,1999,328,-313,2,-156.5,187,1,187
13,2004,456,-59,4,-14.75,167,1,167
14,1997,-142,-402,1,-402,-76,7,-10.857142857142858
14,2004,-218,-76,7,-10.857142857142858,268,6,44.666666666666664
14,2019,23,-27,9,-3,NaN,NaN,NaN
15,2005,-393,-653,1,-653,334,1,334
15,2011,-110,-51,5,-10.2,238,2,119
15,2019,114,-14,6,-2.333333333333333,NaN,NaN,NaN
16,1999,281,-340,1,-340,300,8,37.5
17,1998,280,-207,1,-207,131,21,6.238095238095238
18,2003,-180,-482,1,-482,77,13,5.923076923076923
19,1998,495,-104,14,-7.428571428571429,-601,1,-601
19,1999,-106,-601,1,-601,454,1,454
20,1998,59,-657,1,-657,422,1,422
21,1993,-206,-631,1,-631,175,11,15.909090909090908
22,2019,420,-151,35,-4.314285714285714,NaN,NaN,NaN
23,2014,-43,-285,1,-285,0,5,0
24,2019,662,-34,26,-1.307692307692308,NaN,NaN,NaN
25,2006,721,-39,22,-1.772727272727273,-362,1,-362
25,2007,359,-362,1,-362,293,1,293
25,2010,582,-70,2,-35,204,2,102
26,1994,497,-57,10,-5.7,-661,1,-661
26,1995,-164,-661,1,-661,480,6,80
27,2017,-20,-245,1,-245,0,2,0
28,1993,471,-47,9,-5.222222222222222,-631,1,-631
28,1994,-160,-631,1,-631,441,1,441
31,2003,460,-224,1,-224,106,16,6.625
32,2019,365,-71,35,-2.028571428571428,NaN,NaN,NaN
33,1986,518,-110,2,-55,147,2,73.5
33,1998,523,-142,10,-14.2,-695,1,-695
33,1999,-172,-695,1,-695,438,6,73
34,1999,270,-330,2,-165,301,4,75.25
34,2005,397,-174,2,-87,277,4,69.25
34,2019,563,-111,10,-11.1,NaN,NaN,NaN
35,1985,-371,-686,1,-686,455,3,151.66666666666666
35,2018,66,-255,1,-255,0,1,0
36,2003,565,-13,19,-0.684210526315789,-626,1,-626
36,2004,-61,-626,1,-626,546,10,54.6
36,2015,85,-400,1,-400,238,1,238
37,1998,224,-439,1,-439,259,2,129.5
38,2001,-275,-898,1,-898,538,2,269
39,1999,-506,-1043,1,-1043,252,1,252
40,1999,441,-151,7,-21.571428571428573,-285,1,-285
40,2000,156,-285,1,-285,413,1,413
40,2019,361,-208,18,-11.555555555555555,NaN,NaN,NaN
41,1994,14,-139,6,-23.166666666666668,411,21,19.571428571428573
41,2016,-361,-786,1,-786,523,2,261.5
42,1989,-90,-9,5,-1.8,276,2,138
42,2009,-65,-251,18,-13.944444444444445,254,1,254
42,2019,80,-109,9,-12.11111111111111,NaN,NaN,NaN
43,1985,92,-106,1,-106,325,7,46.42857142857143
43,1993,-401,-818,1,-818,376,1,376
44,2002,-21,-336,3,-112,258,1,258
44,2009,-1,-238,6,-39.666666666666664,377,1,377
44,2019,238,-138,9,-15.333333333333334,NaN,NaN,NaN
45,2015,561,-26,31,-0.838709677419355,-618,1,-618
45,2016,-57,-618,1,-618,255,1,255
45,2019,161,-37,2,-18.5,NaN,NaN,NaN
46,2000,656,-12,16,-0.75,-186,2,-93
46,2002,470,-186,2,-93,112,17,6.588235294117647
47,1992,604,-33,8,-4.125,-408,1,-408
47,1993,196,-408,1,-408,199,2,99.5
48,2019,660,-6,35,-0.171428571428571,NaN,NaN,NaN
49,1994,321,-204,2,-102,-11,12,-0.916666666666667
49,2006,310,-11,12,-0.916666666666667,-622,1,-622
49,2007,-312,-622,1,-622,557,12,46.416666666666664
50,2003,447,-88,8,-11,-236,1,-236
50,2004,211,-236,1,-236,360,1,360
50,2017,513,-58,12,-4.833333333333333,135,2,67.5
51,1992,469,-98,8,-12.25,-171,1,-171
51,1993,298,-171,1,-171,308,1,308
52,2007,-71,-363,2,-181.5,-6,12,-0.5
52,2019,-77,-6,12,-0.5,NaN,NaN,NaN
53,1988,521,-167,1,-167,83,26,3.192307692307693
53,2015,433,-171,1,-171,205,4,51.25
54,2019,611,-101,35,-2.885714285714286,NaN,NaN,NaN
55,2007,-211,-281,1,-281,254,12,21.166666666666668
56,1997,-25,-590,1,-590,34,9,3.777777777777778
56,2019,277,-73,11,-6.636363636363637,NaN,NaN,NaN
57,2009,486,-181,12,-15.083333333333334,165,2,82.5
57,2019,610,-41,8,-5.125,NaN,NaN,NaN
58,2019,80,-44,24,-1.833333333333333,NaN,NaN,NaN
59,2005,476,-74,21,-3.523809523809524,-596,1,-596
59,2006,-120,-596,1,-596,104,2,52
60,2019,-78,-157,28,-5.607142857142857,NaN,NaN,NaN
61,2014,460,-277,1,-277,0,5,0
62,2008,-156,-231,1,-231,170,11,15.454545454545455
63,1999,-184,-308,1,-308,32,20,1.6
64,2015,705,-71,31,-2.290322580645161,-779,1,-779
64,2016,-74,-779,1,-779,0,3,0
65,2019,413,-90,35,-2.571428571428572,NaN,NaN,NaN
66,2016,-59,-772,1,-772,400,2,200
66,2019,234,-107,1,-107,NaN,NaN,NaN
67,2016,-59,-652,1,-652,438,2,219
